"countryname","happinessscore","healthy_life_expectancy","year_2019","social_support","generosity","beer_percapita","spirit_percapita","wine_percapita"
"Denmark",7.526,72.7,79.3,0.954,0.03,224,81,278
"Switzerland",7.509,74.4,81.9,0.942,0.025,185,100,280
"Iceland",7.501,73,81,0.983,0.16,233,61,78
"Norway",7.498,73.3,81.2,0.954,0.093,169,71,129
"Finland",7.413,72,79.2,0.954,-0.098,263,133,97
"Canada",7.404,73.8,80,0.926,0.089,240,122,100
"Netherlands",7.339,72.4,80.5,0.942,0.175,251,88,190
"New Zealand",7.334,73.4,80,0.948,0.134,203,79,175
"Australia",7.313,73.9,80.9,0.94,0.159,261,72,212
"Sweden",7.291,72.7,81.3,0.934,0.086,152,60,186
"Israel",7.267,73.503,81,0.939,0.031,63,69,9
"Austria",7.119,73.3,79.5,0.934,0.042,279,75,191
"United States",7.104,68.2,76.3,0.92,0.098,249,158,84
"Costa Rica",7.087,71.4,77.739,0.891,-0.126,149,87,11
"Germany",6.994,72.5,78.6,0.903,0.011,346,117,175
"Brazil",6.952,66.601,72.243,0.882,-0.071,245,145,16
"Belgium",6.929,72.199,79.6,0.906,-0.153,295,84,212
"Ireland",6.907,72.4,80.4,0.947,0.077,313,118,165
"Luxembourg",6.871,72.6,80.3,0.908,-0.034,236,133,271
"Mexico",6.778,68.597,72.203,0.831,-0.147,238,68,5
"Singapore",6.739,76.953,81.4,0.915,-0.018,60,12,11
"United Kingdom",6.725,72.5,79.4,0.934,0.233,219,126,195
"Chile",6.705,70,77.771,0.882,-0.044,130,124,172
"Panama",6.701,69.652,75.421,0.896,-0.166,285,104,18
"Argentina",6.650,69,73.242,0.898,-0.182,193,25,221
"Czech Republic",6.596,70.807,76.3,0.947,-0.208,361,170,134
"United Arab Emirates",6.573,67.333,77.291,0.844,0.074,16,135,5
"Uruguay",6.545,69.1,74.119,0.925,-0.092,115,35,220
"Malta",6.488,72.2,80.6,0.931,0.133,149,100,120
"Colombia",6.481,68.001,74.528,0.847,-0.135,159,76,3
"France",6.478,74,79.7,0.942,-0.147,127,151,370
"Thailand",6.474,67.401,73.46,0.888,0.287,99,258,1
NULL,6.375,NULL,NULL,NULL,NULL,1,42,7
"Spain",6.361,74.7,80.9,0.932,-0.081,284,157,112
"Guatemala",6.324,64.958,71.382,0.813,-0.038,53,69,2
NULL,6.269,NULL,NULL,NULL,NULL,128,178,7
"Bahrain",6.218,69.495,76.436,0.862,0.089,42,63,7
NULL,6.168,NULL,NULL,NULL,NULL,197,156,7
NULL,6.084,66.7,NULL,0.861,-0.169,333,100,3
NULL,6.078,69.201,NULL,0.936,-0.124,196,293,116
"El Salvador",6.068,66.402,68.455,0.762,-0.11,52,69,2
"Nicaragua",5.992,67.657,70.944,0.864,0.02,78,118,1
"Uzbekistan",5.987,65.255,69.592,0.918,0.311,25,101,8
"Italy",5.977,73.8,81.1,0.88,-0.084,85,42,237
"Ecuador",5.976,68.8,74.282,0.821,-0.124,162,74,3
NULL,5.956,NULL,NULL,NULL,NULL,263,114,8
"Japan",5.921,75.1,81.41,0.884,-0.258,77,202,16
"Kazakhstan",5.919,65.2,68.82,0.952,-0.069,124,246,12
"Moldova",5.897,65.699,67.624,0.857,-0.079,109,226,18
NULL,5.856,NULL,NULL,NULL,NULL,247,326,73
NULL,5.835,73.9,NULL,0.799,-0.083,140,16,9
"Poland",5.835,69.702,74.1,0.898,-0.165,343,215,56
"Bolivia",5.822,63.901,68.684,0.81,-0.077,167,41,8
"Lithuania",5.813,67.906,71.5,0.935,-0.203,343,244,56
"Belarus",5.802,66.253,69.3,0.91,-0.18,142,373,42
"Slovenia",5.768,71.4,78.5,0.948,-0.101,270,51,276
"Peru",5.743,68.25,74.06,0.832,-0.154,163,160,21
"Turkmenistan",5.658,62.409,64.705,0.983,0.273,19,71,32
