CountryName,IndicatorName,Year 2019
Aruba,"Life expectancy at birth, male (years)",73.768
Afghanistan,"Life expectancy at birth, male (years)",63.382
Angola,"Life expectancy at birth, male (years)",58.416
Albania,"Life expectancy at birth, male (years)",77.002
Andorra,"Life expectancy at birth, male (years)",66.783
Arab World,"Life expectancy at birth, male (years)",70.30818401
United Arab Emirates,"Life expectancy at birth, male (years)",77.291
Argentina,"Life expectancy at birth, male (years)",73.242
Armenia,"Life expectancy at birth, male (years)",71.327
American Samoa,"Life expectancy at birth, male (years)",66.783
Antigua and Barbuda,"Life expectancy at birth, male (years)",75.858
Australia,"Life expectancy at birth, male (years)",80.9
Austria,"Life expectancy at birth, male (years)",79.5
Azerbaijan,"Life expectancy at birth, male (years)",70.511
Burundi,"Life expectancy at birth, male (years)",59.764
Belgium,"Life expectancy at birth, male (years)",79.6
Benin,"Life expectancy at birth, male (years)",60.201
Burkina Faso,"Life expectancy at birth, male (years)",60.739
Bangladesh,"Life expectancy at birth, male (years)",70.877
Bulgaria,"Life expectancy at birth, male (years)",71.5
Bahrain,"Life expectancy at birth, male (years)",76.436
"Bahamas, The","Life expectancy at birth, male (years)",71.659
Bosnia and Herzegovina,"Life expectancy at birth, male (years)",74.893
Belarus,"Life expectancy at birth, male (years)",69.3
Belize,"Life expectancy at birth, male (years)",71.65
Bermuda,"Life expectancy at birth, male (years)",78.13
Bolivia,"Life expectancy at birth, male (years)",68.684
Brazil,"Life expectancy at birth, male (years)",72.243
Barbados,"Life expectancy at birth, male (years)",77.814
Brunei Darussalam,"Life expectancy at birth, male (years)",74.728
Bhutan,"Life expectancy at birth, male (years)",71.405
Botswana,"Life expectancy at birth, male (years)",66.485
Central African Republic,"Life expectancy at birth, male (years)",51.081
Canada,"Life expectancy at birth, male (years)",80
Central Europe and the Baltics,"Life expectancy at birth, male (years)",73.63740194
Switzerland,"Life expectancy at birth, male (years)",81.9
Channel Islands,"Life expectancy at birth, male (years)",81.173
Chile,"Life expectancy at birth, male (years)",77.771
China,"Life expectancy at birth, male (years)",74.761
Cote d'Ivoire,"Life expectancy at birth, male (years)",56.593
Cameroon,"Life expectancy at birth, male (years)",58.029
"Congo, Dem. Rep.","Life expectancy at birth, male (years)",59.147
"Congo, Rep.","Life expectancy at birth, male (years)",63.082
Colombia,"Life expectancy at birth, male (years)",74.528
Comoros,"Life expectancy at birth, male (years)",62.587
Cabo Verde,"Life expectancy at birth, male (years)",69.526
Costa Rica,"Life expectancy at birth, male (years)",77.739
Caribbean small states,"Life expectancy at birth, male (years)",71.54976076
Cuba,"Life expectancy at birth, male (years)",76.84
Curacao,"Life expectancy at birth, male (years)",66.783
Cayman Islands,"Life expectancy at birth, male (years)",66.783
Cyprus,"Life expectancy at birth, male (years)",78.921
Czech Republic,"Life expectancy at birth, male (years)",76.3
Germany,"Life expectancy at birth, male (years)",78.6
Djibouti,"Life expectancy at birth, male (years)",65.116
Dominica,"Life expectancy at birth, male (years)",66.783
Denmark,"Life expectancy at birth, male (years)",79.3
Dominican Republic,"Life expectancy at birth, male (years)",70.991
Algeria,"Life expectancy at birth, male (years)",75.676
East Asia & Pacific (excluding high income),"Life expectancy at birth, male (years)",73.01585374
Early-demographic dividend,"Life expectancy at birth, male (years)",68.91141003
East Asia & Pacific,"Life expectancy at birth, male (years)",73.80699003
Europe & Central Asia (excluding high income),"Life expectancy at birth, male (years)",70.02093862
Europe & Central Asia,"Life expectancy at birth, male (years)",75.0248363
Ecuador,"Life expectancy at birth, male (years)",74.282
"Egypt, Arab Rep.","Life expectancy at birth, male (years)",69.742
Euro area,"Life expectancy at birth, male (years)",79.59749449
Eritrea,"Life expectancy at birth, male (years)",64.153
Spain,"Life expectancy at birth, male (years)",80.9
Estonia,"Life expectancy at birth, male (years)",74.4
Ethiopia,"Life expectancy at birth, male (years)",64.694
European Union,"Life expectancy at birth, male (years)",78.45100095
Fragile and conflict affected situations,"Life expectancy at birth, male (years)",60.03206415
Finland,"Life expectancy at birth, male (years)",79.2
Fiji,"Life expectancy at birth, male (years)",65.698
France,"Life expectancy at birth, male (years)",79.7
Faroe Islands,"Life expectancy at birth, male (years)",80.6
"Micronesia, Fed. Sts.","Life expectancy at birth, male (years)",66.232
Gabon,"Life expectancy at birth, male (years)",64.382
United Kingdom,"Life expectancy at birth, male (years)",79.4
Georgia,"Life expectancy at birth, male (years)",69.349
Ghana,"Life expectancy at birth, male (years)",62.991
Gibraltar,"Life expectancy at birth, male (years)",66.783
Guinea,"Life expectancy at birth, male (years)",60.855
"Gambia, The","Life expectancy at birth, male (years)",60.656
Guinea-Bissau,"Life expectancy at birth, male (years)",56.305
Equatorial Guinea,"Life expectancy at birth, male (years)",57.743
Greece,"Life expectancy at birth, male (years)",79.5
Grenada,"Life expectancy at birth, male (years)",70.073
Greenland,"Life expectancy at birth, male (years)",66.783
Guatemala,"Life expectancy at birth, male (years)",71.382
Guam,"Life expectancy at birth, male (years)",76.828
Guyana,"Life expectancy at birth, male (years)",66.927
High income,"Life expectancy at birth, male (years)",78.28113931
"Hong Kong SAR, China","Life expectancy at birth, male (years)",82.2
Honduras,"Life expectancy at birth, male (years)",72.96
